PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Alimentos y utensilios,31737278,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Productos alimenticios para personas,29688178,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Productos alimenticios para animales,1743503,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Utensilios para el servicio de alimentación,305597,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,"Herramientas, refacciones y accesorios menores",8950244,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Herramientas menores,1411403,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Refacciones y accesorios menores de edificios,279243,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Refacciones y accesorios menores de mobiliario y equipo de administración, educacional y recreativo",74334,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Refacciones y accesorios menores de equipo de cómputo y tecnologías de la información,1196293,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Refacciones y accesorios menores de equipo de transporte,173643,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Refacciones y accesorios menores de maquinaria y otros equipos,5425125,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Refacciones y accesorios menores otros bienes muebles,390203,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Materiales y artículos de construcción y de reparación,9191417,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Productos minerales no metálicos,545463,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Cemento y productos de concreto,35617,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Cal, yeso y productos de yeso",51538,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Madera y productos de madera,182216,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Vidrio y productos de vidrio,92265,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Material eléctrico y electrónico,1976998,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Artículos metálicos para la construcción,602867,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Materiales complementarios,3157120,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Otros materiales y artículos de construcción y reparación,2547333,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,"Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",5383374,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Productos químicos, farmacéuticos y de laboratorio",5383374,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Productos químicos básicos,1127254,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,"Fertilizantes, pesticidas y otros agroquímicos",12985,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Medicinas y productos farmacéuticos,183858,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,"Materiales, accesorios y suministros médicos",293448,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,"Materiales, accesorios y suministros de laboratorio",362482,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,"Fibras sintéticas, hules, plásticos y derivados",332305,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Otros productos químicos,3071042,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,"Combustibles, lubricantes y aditivos",57222498,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Combustibles, lubricantes y aditivos",57222498,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,"Vestuario, blancos, prendas de protección y artículos deportivos",23252908,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Vestuario y uniformes,21783624,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Prendas de seguridad y protección personal,1276835,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Artículos deportivos,141151,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Productos textiles,29316,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Blancos y otros productos textiles, excepto prendas de vestir",21982,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Materiales y suministros para seguridad,5369951,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Materiales de seguridad pública,1589361,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Prendas de protección para seguridad pública y nacional,3780590,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Capítulo,Servicios generales,668105589,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Servicios básicos,107390195,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Energía eléctrica,91596508,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Gas,1353614,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Agua,4297672,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Telefonía tradicional,3458231,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Telefonía celular,512954,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios de telecomunicaciones y satélites,53858,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios de acceso de Internet, redes y procesamiento de información",5187173,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios postales y telegráficos,930185,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Servicios de arrendamiento,42918915,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Arrendamiento de edificios,10060918,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Arrendamiento de mobiliario y equipo de administración, educacional y recreativo",3017077,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Arrendamiento de equipo de transporte,206588,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Arrendamiento de maquinaria, otros equipos y herramientas",5220,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Arrendamiento de activos intangibles,23905513,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Otros arrendamientos,5723599,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,"Servicios profesionales, científicos, técnicos y otros servicios",154977687,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios legales, de contabilidad, auditoría y relacionados",13130400,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios de diseño, arquitectura, ingeniería y actividades relacionadas",4428491,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios de consultoría administrativa, procesos, técnica y en tecnologías de la información",21497968,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios de capacitación,7182953,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios de investigación científica y desarrollo,2317912,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios de apoyo administrativo, traducción, fotocopiado e impresión",13252599,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios de protección y seguridad,59926061,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios de vigilancia,19033017,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios profesionales, científicos y técnicos integrales",14208286,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,"Servicios financieros, bancarios y comerciales",37277576,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios financieros y bancarios,7443171,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios de recaudación, traslado y custodia de valores",1419300,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Seguros de responsabilidad patrimonial y fianzas,3582,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Seguro de bienes patrimoniales,28189219,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Fletes y maniobras,216504,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios financieros, bancarios y comerciales integrales",5800,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,"Servicios de instalación, reparación, mantenimiento y conservación",186836201,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Conservación y mantenimiento menor de inmuebles,101771280,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Instalación, reparación y mantenimiento de mobiliario y equipo de administración, educacional y recreativo",284068,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Instalación, reparación y mantenimiento de equipo de cómputo y tecnología de la información",10988378,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios de jardinería y fumigación,493508,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Reparación y mantenimiento de equipo de transporte,22352213,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Reparación y mantenimiento de equipo de defensa y seguridad e instalación, reparación y mantenimiento de equipo e instrumental médico y de laboratorio",3448496,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,"Instalación, reparación y mantenimiento de equipo e instrumental médico y de laboratorio",3448496,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Instalación, reparación y mantenimiento de maquinaria, otros equipos y herramienta",35100007,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios de limpieza y manejo de desechos,12398251,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Servicios de comunicación social y publicidad,74948023,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales",74850145,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios de creatividad, preproducción y producción de publicidad, excepto Internet",34568,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicios de revelado de fotografías,4574,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Servicios de la industria fílmica, del sonido y del video",5800,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Servicio de creación y difusión de contenido exclusivamente a través de Internet,15964,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Otros servicios de información,36972,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Servicios de traslado y viáticos,6927793,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Pasajes aéreos,3784630,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Pasajes terrestres,991441,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Viáticos en el país,1586659,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Viáticos en el extranjero,536174,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Otros servicios de traslado y hospedaje,28889,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Servicios oficiales,29241741,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Gastos de orden social y cultural,24220105,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Congresos y convenciones,81896,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Exposiciones,3137684,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Gastos de representación,1802056,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Otros servicios generales,27587458,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Impuestos y derechos,2166462,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Sentencias y resoluciones por autoridad competente,1784046,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Penas, multas, accesorios y actualizaciones",760410,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Otros gastos por responsabilidades,2183,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Impuesto sobre nóminas y otros que se deriven de una relación laboral,20732385,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Otros servicios generales,2141972,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Capítulo,"Transferencias, asignaciones, subsidios y otras ayudas",15268281875,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Transferencias internas y asignaciones al sector público,15268281875,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,A poderes,639500000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Legislativo,209500000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Judicial,430000000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,A instituciones del gobierno según función,14334817591,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas de educación,8896434733,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas de salud,3218477098,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas de asistencia social,447776501,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas de seguridad social,52049406,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas de cultura y deporte,456838945,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas de seguridad pública,544311219,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas del sector turismo,39990626,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas del sector agropecuario,201525138,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas del sector económico,102286624,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Subpartida Genérica,Instituciones y programas ecológicos,7549744,Cifras Definitivas
